i,j,setup
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
1,0,0
1,1,0.00
1,2,156.39
1,3,156.39
1,4,210.53
1,5,210.53
1,6,210.53
1,7,0.00
1,8,0.00
1,9,156.39
1,10,156.39
1,11,210.53
2,0,0
2,1,156.39
2,2,0.00
2,3,0.00
2,4,54.14
2,5,54.14
2,6,54.14
2,7,156.39
2,8,156.39
2,9,0.00
2,10,0.00
2,11,54.14
3,0,0
3,1,156.39
3,2,0.00
3,3,0.00
3,4,54.14
3,5,54.14
3,6,54.14
3,7,156.39
3,8,156.39
3,9,0.00
3,10,0.00
3,11,54.14
4,0,0
4,1,210.53
4,2,54.14
4,3,54.14
4,4,0.00
4,5,0.00
4,6,0.00
4,7,210.53
4,8,210.53
4,9,54.14
4,10,54.14
4,11,0.00
5,0,0
5,1,210.53
5,2,54.14
5,3,54.14
5,4,0.00
5,5,0.00
5,6,0.00
5,7,210.53
5,8,210.53
5,9,54.14
5,10,54.14
5,11,0.00
6,0,0
6,1,210.53
6,2,54.14
6,3,54.14
6,4,0.00
6,5,0.00
6,6,0.00
6,7,210.53
6,8,210.53
6,9,54.14
6,10,54.14
6,11,0.00
7,0,0
7,1,0.00
7,2,156.39
7,3,156.39
7,4,210.53
7,5,210.53
7,6,210.53
7,7,0.00
7,8,0.00
7,9,156.39
7,10,156.39
7,11,210.53
8,0,0
8,1,0.00
8,2,156.39
8,3,156.39
8,4,210.53
8,5,210.53
8,6,210.53
8,7,0.00
8,8,0.00
8,9,156.39
8,10,156.39
8,11,210.53
9,0,0
9,1,156.39
9,2,0.00
9,3,0.00
9,4,54.14
9,5,54.14
9,6,54.14
9,7,156.39
9,8,156.39
9,9,0.00
9,10,0.00
9,11,54.14
10,0,0
10,1,156.39
10,2,0.00
10,3,0.00
10,4,54.14
10,5,54.14
10,6,54.14
10,7,156.39
10,8,156.39
10,9,0.00
10,10,0.00
10,11,54.14
11,0,0
11,1,210.53
11,2,54.14
11,3,54.14
11,4,0.00
11,5,0.00
11,6,0.00
11,7,210.53
11,8,210.53
11,9,54.14
11,10,54.14
11,11,0.00

